"","AnimalID","LHAMT_Euthanized","ExpName","ExperimentStartDate","StartGroup","ExperimentalGroup","ExperimentalUnit","Treatment","ExperimentalSeries","ExperimentStartAge","Experiment_Duration","Sex","WildCaught","Queen","LitterRef","BirthDate","BirthColony","FirstColony","DevelopingColony","DeathDate","DeathAge","FirstLitter_PairingColony","FirstLitter_ConceptionDate","FirstLitter_ConceptionColony","FirstLitter_ParturitionDate","FirstLitter_ParturitionColony","Training","BreedingStatus","Punched","Sequenced","Queried_BreedingStatus"
"1","ARF002","Yes","LHAM",2017-10-30,"Aristotle","Aristotle",15,"Helper",2,32.0328542094456,11.1047227926078,"F",0,0,99,2015-02-28,"Aristotle","Aristotle","Aristotle",2018-10-03,1313,NA,NA,NA,NA,NA,"No","Helper",NA,NA,"Helper"
"2","ARF013","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,221,2016-07-24,"Aristotle","Aristotle","Aristotle",2017-10-24,457,NA,NA,NA,NA,NA,"Yes","Helper",NA,NA,"Helper"
"3","BEF001","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,28,2014-04-06,"Bennett","Bennett","Bennett",2018-10-12,1650,NA,NA,NA,NA,NA,"Yes","Helper","Yes","Yes","Helper"
"4","CRF002","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,9,2013-12-17,"Crick","Crick","Crick",2017-12-13,1457,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"5","CRF007","Yes","LHAM",2016-06-08,"Crick","Masai Mara",13,"Breeder",1,17.0513347022587,18.2012320328542,"F",0,0,84,2015-01-06,"Crick","Crick","Crick",2017-12-14,1073,"Masai Mara",2016-08-18,"Masai Mara",2016-11-14,"Masai Mara","No","Queen","Yes","Yes","Breeder"
"6","DVF007","Yes","LHAM",2017-10-31,"DaVinci","Camdeboo",18,"Breeder",2,21.9137577002053,11.1375770020534,"F",0,0,165,2016-01-03,"DaVinci","DaVinci","DaVinci",2018-10-05,1006,"Camdeboo",2018-02-20,"Camdeboo",2018-05-19,"Camdeboo","No","Queen","Yes","Yes","Breeder"
"7","DVF008","Yes","LHAM",2017-10-31,"DaVinci","DaVinci",18,"Helper",2,21.9137577002053,11.1047227926078,"F",0,0,165,2016-01-03,"DaVinci","DaVinci","DaVinci",2018-10-04,1005,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"8","VIF018","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,385,2017-12-02,"Virunga","Virunga","DEAD",2017-12-02,0,NA,NA,NA,NA,NA,"Yes","Pup",NA,NA,"Pup"
"9","G1F022","Yes","LHAM",2016-01-21,"Gemsbok 1","Gemsbok 1",3,"Helper",1,13.6344969199179,22.6365503080082,"F",0,0,77,2014-12-02,"Gemsbok 1","Gemsbok 1","Gemsbok 1",2017-12-10,1104,NA,NA,NA,NA,NA,"No","Helper",NA,NA,"Helper"
"10","G1F025","Yes","LHAM",2016-01-21,"Gemsbok 1","Kruger",3,"Solitary",1,13.6344969199179,22.6694045174538,"F",0,0,77,2014-12-02,"Gemsbok 1","Gemsbok 1","Gemsbok 1",2017-12-11,1105,NA,NA,NA,NA,NA,"No","Solitary","Yes","Yes","Solitary"
"11","G10F024","Yes","LHAM",2015-12-18,"Gemsbok 10","Serengeti",2,"Breeder",1,25.3305954825462,22.0780287474333,"F",0,0,3,2013-11-07,"Gemsbok 10","Gemsbok 10","Gemsbok 10",2017-10-20,1443,"Addo",2017-06-26,"Addo",2017-09-22,"Addo","No","Queen","Yes","Yes","Breeder"
"12","G10F023","Yes","LHAM",2015-12-18,"Gemsbok 10","Gemsbok 10",2,"Helper",1,25.3305954825462,22.0451745379877,"F",0,0,3,2013-11-07,"Gemsbok 10","Gemsbok 10","Gemsbok 10",2017-10-19,1442,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"13","G10F025","Yes","LHAM",2015-12-18,"Gemsbok 10","Garamba",2,"Solitary",1,25.3305954825462,22.1108829568789,"F",0,0,3,2013-11-07,"Gemsbok 10","Gemsbok 10","Gemsbok 10",2017-10-21,1444,NA,NA,NA,NA,NA,"No","Solitary","Yes","Yes","Solitary"
"14","G10F026","Yes",NA,2017-06-18,NA,NA,NA,NA,NA,NA,NA,"F",0,0,27,2014-04-03,"Gemsbok 10","Gemsbok 10","Gemsbok 10",2017-11-24,1331,"Who",2017-07-31,"Who",2017-10-27,"Who","No","Queen","Yes","Yes","Breeder"
"15","G4F019","Yes","LHAM",2016-02-04,"Gemsbok 4","Gemsbok 4",5,"Helper",1,18.3983572895277,22.0780287474333,"F",0,0,47,2014-07-24,"Gemsbok 4","Gemsbok 4","Gemsbok 4",2017-12-07,1232,NA,NA,NA,NA,NA,"No","Helper",NA,NA,"Helper"
"16","G4F020","Yes","LHAM",2016-02-04,"Gemsbok 4","Zambezi",5,"Solitary",1,18.3983572895277,22.0451745379877,"F",0,0,47,2014-07-24,"Gemsbok 4","Gemsbok 4","Gemsbok 4",2017-12-06,1231,NA,NA,NA,NA,NA,"No","Solitary","Yes","Yes","Solitary"
"17","G4F022","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,82,2015-01-03,"Gemsbok 4","Gemsbok 4","Gemsbok 4",2017-12-06,1068,NA,NA,NA,NA,NA,"Yes","Helper",NA,NA,"Helper"
"18","GRF001","Yes","LHAM",2016-02-24,"Grunenthal","Aloatra",8,"Breeder",1,19.088295687885,21.1909650924025,"F",0,0,46,2014-07-23,"Grunenthal","Grunenthal","Grunenthal",2017-11-30,1226,"Aloatra",2016-04-01,"Aloatra",2016-06-28,"Aloatra","No","Queen","Yes","Yes","Breeder"
"19","GRF002","Yes","LHAM",2016-02-16,"Grunenthal","Etosha",8,"Solitary",1,18.8254620123203,21.4537987679671,"F",0,0,46,2014-07-23,"Grunenthal","Grunenthal","Grunenthal",2017-11-30,1226,NA,NA,NA,NA,NA,"No","Solitary","Yes","Yes","Solitary"
"20","GRF004","Yes","LHAM",2016-03-05,"Grunenthal","Ranomafana",12,"Breeder",1,14.3901437371663,19.3511293634497,"F",0,0,80,2014-12-23,"Grunenthal","Grunenthal","Grunenthal",2017-10-15,1027,"Ranomafana",2016-12-04,"Ranomafana",2017-03-02,"Ranomafana","No","Queen","Yes","Yes","Breeder"
"21","GRF003","Yes","LHAM",2016-03-05,"Grunenthal","Grunenthal",12,"Helper",1,14.3901437371663,19.3839835728953,"F",0,0,80,2014-12-23,"Grunenthal","Grunenthal","Grunenthal",2017-10-16,1028,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"22","GRF005","Yes","LHAM",2016-03-05,"Grunenthal","Kabara",12,"Solitary",1,14.3901437371663,19.3182751540041,"F",0,0,80,2014-12-23,"Grunenthal","Grunenthal","Grunenthal",2017-10-14,1026,NA,NA,NA,NA,NA,"No","Solitary","Yes","Yes","Solitary"
"23","GRF007","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,106,2015-04-13,"Grunenthal","Grunenthal","Grunenthal",2017-11-29,961,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"24","HEF001","Yes","LHAM",2016-02-06,"Hermes","Virunga",6,"Breeder",1,20.6981519507187,22.17659137577,"F",0,0,35,2014-05-17,"Hermes","Hermes","Hermes",2017-12-12,1305,"Virunga",2016-02-08,"Virunga",2016-05-06,"Virunga","No","Queen",NA,NA,"Breeder"
"25","LAF007","Yes","LHAM",2017-10-31,"Lacey","Bontebok",17,"Breeder",2,21.6509240246407,11.3347022587269,"F",0,0,171,2016-01-11,"Lacey","Lacey","Lacey",2018-10-11,1004,NA,NA,NA,NA,NA,"No","Queen","Yes","Yes","Breeder"
"26","LAF008","Yes","LHAM",2017-10-31,"Lacey","Lacey",17,"Helper",2,21.6509240246407,11.3018480492813,"F",0,0,171,2016-01-11,"Lacey","Lacey","Lacey",2018-10-10,1003,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"27","L2F020","Yes","LHAM",2016-02-08,"Lonely 2","Amboseli",7,"Breeder",1,17.1498973305955,21.782340862423,"F",0,0,56,2014-09-04,"Lonely 2","Lonely 2","Lonely 2",2017-12-02,1185,"Amboseli",2016-02-22,"Amboseli",2016-05-20,"Amboseli","No","Queen",NA,NA,"Breeder"
"28","L2F010","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",1,0,NA,NA,NA,"Lonely 2","Lonely 2",2017-10-01,NA,NA,NA,NA,NA,NA,"Yes","Helper","Yes","Yes","Helper"
"29","L2F009","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",1,0,NA,NA,NA,"Lonely 2","Lonely 2",2017-10-03,NA,NA,NA,NA,NA,NA,"Yes","Helper","Yes","Yes","Helper"
"30","MAF006","Yes","LHAM",2016-02-20,"Mandela","Kilimanjaro",9,"Breeder",1,15.7371663244353,21.4537987679671,"F",0,0,73,2014-10-29,"Mandela","Mandela","Mandela",2017-12-04,1132,"Kilimanjaro",2016-07-31,"Kilimanjaro",2016-10-27,"Kilimanjaro","No","Queen","Yes","Yes","Breeder"
"31","MAF003","Yes","LHAM",2016-02-20,"Mandela","Ngorongoro",9,"Solitary",1,15.7371663244353,21.4866529774127,"F",0,0,73,2014-10-29,"Mandela","Mandela","Mandela",2017-12-05,1133,NA,NA,NA,NA,NA,"No","Solitary","Yes","Yes","Solitary"
"32","MAF008","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,115,2015-05-26,"Mandela","Mandela","Mandela",2017-12-03,922,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"33","NOF009","Yes","LHAM",2016-02-24,"Nowak","Gombe",10,"Breeder",1,14.2258726899384,21.0924024640657,"F",0,0,79,2014-12-18,"Nowak","Nowak","Nowak",2017-11-27,1075,"Gombe",2016-03-06,"Gombe",2016-06-02,"Gombe","No","Queen","Yes","Yes","Breeder"
"34","NOF007","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,79,2014-12-18,"Nowak","Nowak","Nowak",2017-11-28,1076,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"35","TIF003","Yes","LHAM",2016-07-25,"Tinbergen","Kgalagadi",14,"Breeder",1,20.7967145790554,14.7515400410678,"F",0,0,70,2014-10-31,"Tinbergen","Tinbergen","Tinbergen",2017-10-17,1082,"Kgalagadi",2016-08-05,"Kgalagadi",2016-11-01,"Kgalagadi","No","Queen","Yes","Yes","Breeder"
"36","TIF005","Yes","LHAM",2016-07-24,"Tinbergen","Augrabies",14,"Solitary",1,20.7638603696099,14.8172484599589,"F",0,0,70,2014-10-31,"Tinbergen","Tinbergen","Tinbergen",2017-10-18,1083,NA,NA,NA,NA,NA,"No","Solitary","Yes","Yes","Solitary"
"37","TIF008","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",0,0,137,2015-10-27,"Tinbergen","Tinbergen","Tinbergen",2017-11-20,755,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"38","WAF014","Yes","LHAM",2017-10-31,"Watson","Tankwa",19,"Breeder",2,21.782340862423,11.2361396303901,"F",0,0,168,2016-01-07,"Watson","Watson","Watson",2018-10-08,1005,"Tankwa",2018-01-26,"Tankwa",2018-04-24,"Tankwa","No","Queen","Yes","Yes","Breeder"
"39","WAF011","Yes","LHAM",2017-10-31,"Watson","Watson",19,"Helper",2,21.782340862423,11.2689938398357,"F",0,0,168,2016-01-07,"Watson","Watson","Watson",2018-10-09,1006,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"40","WEF002","Yes","LHAM",2016-01-30,"West","West",4,"Helper",1,16.394250513347,22.3080082135524,"F",0,0,57,2014-09-18,"West","West","West",2017-12-09,1178,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"41","WEF001","Yes","LHAM",2016-01-30,"West","Moremi",4,"Solitary",1,16.394250513347,22.2751540041068,"F",0,0,57,2014-09-18,"West","West","West",2017-12-08,1177,NA,NA,NA,NA,NA,"No","Solitary","Yes","Yes","Solitary"
"42","Z3F022","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",1,0,NA,NA,NA,"Zunki 3","Z3T003",2017-10-08,NA,NA,NA,NA,NA,NA,"Yes","Helper","Yes","Yes","Solitary"
"43","CRM003","Yes","LHAM",2016-02-06,"Crick","Virunga",3,"Breeder",1,25.6591375770021,22.17659137577,"M",0,0,9,2013-12-17,"Crick","Crick","Crick",2017-12-12,1456,"Virunga",2016-02-08,"Virunga",2016-05-06,"Virunga","No","King",NA,NA,"Breeder"
"44","CUM002","Yes","LHAM",2016-02-08,"Curie","Amboseli",4,"Breeder",1,22.8665297741273,21.782340862423,"M",0,0,21,2014-03-14,"Curie","Curie","Curie",2017-12-02,1359,"Amboseli",2016-02-22,"Amboseli",2016-05-20,"Amboseli","No","King",NA,NA,"Breeder"
"45","CUM003","Yes","LHAM",2016-02-24,"Curie","Curie",4,"Helper",1,23.3921971252567,25.0020533880903,"M",0,0,21,2014-03-14,"Curie","Curie","Curie",2018-03-26,1473,NA,NA,NA,NA,NA,"Yes","Helper",NA,NA,"Helper"
"46","DAM002","Yes","LHAM",2015-12-10,"Darwin","Okavango",1,"Breeder",1,24.476386036961,23.5893223819302,"M",0,0,8,2013-11-25,"Darwin","Darwin","Darwin",2017-11-27,1463,"Okavango",2015-12-24,"Okavango",2016-03-21,"Okavango","No","King","Yes","Yes","Breeder"
"47","DAM001","Yes","LHAM",2015-12-10,"Darwin","Darwin",1,"Helper",1,24.476386036961,23.6221765913758,"M",0,0,8,2013-11-25,"Darwin","Darwin","Darwin",2017-11-28,1464,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"48","DAM007","Yes","LHAM",2016-07-25,"Darwin","Kgalagadi",10,"Breeder",1,17.6098562628337,14.7515400410678,"M",0,0,93,2015-02-05,"Darwin","Darwin","Darwin",2017-10-17,985,"Kgalagadi",2016-08-05,"Kgalagadi",2016-11-01,"Kgalagadi","No","King","Yes","Yes","Breeder"
"49","DAM009","Yes","LHAM",2016-07-25,"Darwin","Darwin",10,"Helper",1,17.6098562628337,14.7843942505133,"M",0,0,93,2015-02-05,"Darwin","Darwin","Darwin",2017-10-18,986,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"50","ENM014","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",0,0,390,2017-12-28,"Einstein","Einstein","Einstein",2018-03-26,88,NA,NA,NA,NA,NA,"Yes","Pup",NA,NA,"Pup"
"51","GLM003","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",0,0,304,2017-03-12,"Galdikas","Galdikas","Galdikas",2018-03-26,379,NA,NA,NA,NA,NA,"Yes","Helper",NA,NA,"Helper"
"52","G1M026","Yes","LHAM",2017-10-30,"Gemsbok 1","Mokala",12,"Breeder",2,34.9240246406571,11.0718685831622,"M",0,0,77,2014-12-02,"Gemsbok 1","Gemsbok 1","Gemsbok 1",2018-10-02,1400,"Mokala",2017-12-20,"Mokala",2018-03-18,"Mokala","No","King","Yes","Yes","Breeder"
"53","G1M024","Yes","LHAM",2017-10-30,"Gemsbok 1","Gemsbok 1",12,"Helper",2,34.9240246406571,11.0390143737166,"M",0,0,77,2014-12-02,"Gemsbok 1","Gemsbok 1","Gemsbok 1",2018-10-01,1399,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"54","G3M014","Yes","LHAM",2015-12-18,"Gemsbok 3","Serengeti",2,"Breeder",1,26.1519507186858,23.2279260780287,"M",0,0,1,2013-10-13,"Gemsbok 3","Gemsbok 3","Gemsbok 3",2017-11-24,1503,"Who",2017-07-31,"Who",2017-10-27,"Who","No","King","Yes","Yes","Breeder"
"55","G3M015","Yes","LHAM",2015-12-18,"Gemsbok 3","Gemsbok 3",2,"Helper",1,26.1519507186858,23.1950718685832,"M",0,0,1,2013-10-13,"Gemsbok 3","Gemsbok 3","Gemsbok 3",2017-11-23,1502,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"56","G3M020","Yes",NA,2017-06-18,NA,NA,NA,NA,NA,NA,NA,"M",0,0,66,2014-10-03,"Gemsbok 3","Gemsbok 3","Gemsbok 3",2017-10-20,1113,"Addo",2017-06-26,"Addo",2017-09-22,"Addo","No","King","Yes","Yes","Breeder"
"57","G3M022","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",0,0,89,2015-01-20,"Gemsbok 3","Gemsbok 3","Gemsbok 3",2017-10-19,1003,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"58","LAM005","Yes","LHAM",2017-10-31,"Lacey","Camdeboo",14,"Breeder",2,32.1642710472279,11.1375770020534,"M",0,0,98,2015-02-25,"Lacey","Lacey","Lacey",2018-10-05,1318,"Camdeboo",2018-02-20,"Camdeboo",2018-05-19,"Camdeboo","No","King","Yes","Yes","Breeder"
"59","LAM004","Yes","LHAM",2017-10-31,"Lacey","Lacey",14,"Helper",2,32.1642710472279,11.1047227926078,"M",0,0,98,2015-02-25,"Lacey","Lacey","Lacey",2018-10-04,1317,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"60","L6M014","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",0,0,305,2017-03-16,"Lonely 6","Lonely 6","Lonely 6",2018-03-26,375,NA,NA,NA,NA,NA,"Yes","Helper",NA,NA,"Helper"
"61","LOM002","Yes","LHAM",2016-02-19,"Lorenz","Kilimanjaro",5,"Breeder",1,23.3593429158111,21.4866529774127,"M",0,0,20,2014-03-10,"Lorenz","Lorenz","Lorenz",2017-12-04,1365,"Kilimanjaro",2016-07-31,"Kilimanjaro",2016-10-27,"Kilimanjaro","No","King",NA,NA,"Breeder"
"62","LOM008","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",0,0,95,2015-02-14,"Lorenz","Lorenz","Lorenz",2017-12-14,1034,"Masai Mara",2016-11-28,"Masai Mara",2017-02-24,"Masai Mara","No","King",NA,NA,"Breeder"
"63","LYM003","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",0,0,23,2014-03-23,"Lyons","Lyons","Lyons",2018-03-26,1464,NA,NA,NA,NA,NA,"Yes","Helper",NA,NA,"Helper"
"64","MEM026","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",0,0,389,2017-12-25,"Mendel","Mendel","Mendel",2018-03-26,91,NA,NA,NA,NA,NA,"Yes","Pup",NA,NA,"Pup"
"65","NOM003","Yes","LHAM",2016-03-05,"Nowak","Ranomafana",8,"Breeder",1,23.6221765913758,19.3511293634497,"M",0,0,22,2014-03-17,"Nowak","Nowak","Nowak",2017-10-15,1308,"Ranomafana",2016-12-04,"Ranomafana",2017-03-02,"Ranomafana","No","King","Yes","Yes","Breeder"
"66","NOM004","Yes","LHAM",2016-03-05,"Nowak","Nowak",8,"Helper",1,23.6221765913758,19.3839835728953,"M",0,0,22,2014-03-17,"Nowak","Nowak","Nowak",2017-10-16,1309,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"67","RAM001","Yes","LHAM",2017-10-30,"Rappaz","Karoo",11,"Breeder",2,29.2073921971253,10.9075975359343,"M",0,0,114,2015-05-25,"Rappaz","Rappaz","Rappaz",2018-09-27,1221,NA,NA,NA,NA,NA,"No","King","Yes","Yes","Breeder"
"68","RAM002","Yes","LHAM",2017-10-30,"Rappaz","Rappaz",11,"Helper",2,29.2073921971253,10.9404517453799,"M",0,0,114,2015-05-25,"Rappaz","Rappaz","Rappaz",2018-09-28,1222,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"69","SAM002","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",0,0,11,2014-01-04,"Sapolsky","Sapolsky","Sapolsky",2018-03-26,1542,NA,NA,NA,NA,NA,"Yes","Helper",NA,NA,"Helper"
"70","TSM006","Yes","LHAM",2017-10-31,"Tesla","Tankwa",13,"Breeder",2,36.4681724845996,11.2361396303901,"M",0,0,68,2014-10-17,"Tesla","Tesla","Tesla",2018-10-08,1452,"Tankwa",2018-01-26,"Tankwa",2018-04-24,"Tankwa","No","King","Yes","Yes","Breeder"
"71","TSM005","Yes","LHAM",2017-10-31,"Tesla","Tesla",13,"Helper",2,36.4681724845996,11.2689938398357,"M",0,0,68,2014-10-17,"Tesla","Tesla","Tesla",2018-10-09,1453,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"72","TSM038","Yes","LHAM",2018-08-29,"Tesla","Bontebok",16,"Breeder",2,19.5482546201232,1.41273100616016,"M",0,0,280,2017-01-11,"Tesla","Tesla","Tesla",2018-10-11,638,NA,NA,NA,NA,NA,"No","King","Yes","Yes","Breeder"
"73","TSM039","Yes","LHAM",2018-08-29,"Tesla","Tesla",16,"Helper",2,19.5482546201232,1.37987679671458,"M",0,0,280,2017-01-11,"Tesla","Tesla","Tesla",2018-10-10,637,NA,NA,NA,NA,NA,"No","Helper","Yes","Yes","Helper"
"74","TSM053","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",0,0,391,2018-01-08,"Tesla","Tesla","Tesla",2018-03-26,77,NA,NA,NA,NA,NA,"Yes","Pup",NA,NA,"Pup"
"75","Z1M022","Yes","LHAM",2016-02-24,"Zunki 1","Aloatra",6,"Breeder",1,19.4168377823409,21.1909650924025,"M",0,0,45,2014-07-13,"Zunki 1","Zunki 1","Zunki 1",2017-11-30,1236,"Aloatra",2016-04-01,"Aloatra",2016-06-28,"Aloatra","No","King",NA,NA,"Breeder"
"76","G13M006","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",1,0,NA,NA,NA,"Gemsbok 13",NA,2017-11-16,NA,NA,2013-09-22,"Gemsbok 13",2013-12-19,"Gemsbok 13","Yes","King",NA,NA,"Breeder"
"77","Z4M001","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",1,0,NA,NA,NA,"Zunki 4",NA,2017-11-20,NA,"Bshary",2015-08-31,"Bshary",2015-11-27,"Bshary","Yes","King",NA,NA,"Breeder"
"78","Z3M025","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",1,0,NA,NA,NA,"Zunki 3",NA,2018-02-23,NA,NA,NA,NA,NA,NA,"Yes","Helper",NA,NA,"Helper"
"79","Z3M006","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",1,0,NA,NA,NA,"Zunki 3",NA,2018-03-21,NA,NA,2015-08-15,"Zunki 3",2015-11-11,"Zunki 3","Yes","Breeder",NA,NA,"Breeder"
